digits,noise_type,hum,target_snr_db,measured_snr_db,path,decoded,digit_acc,seq_acc
18005551234,mixed,False,30,30.0,test_wavs\test_18005551234_mixed_snr30.wav,18005551234,1.0,True
18005551234,mixed,False,25,25.0,test_wavs\test_18005551234_mixed_snr25.wav,18005551234,1.0,True
18005551234,mixed,False,20,20.0,test_wavs\test_18005551234_mixed_snr20.wav,18005551234,1.0,True
18005551234,mixed,False,15,15.0,test_wavs\test_18005551234_mixed_snr15.wav,18005551234,1.0,True
18005551234,mixed,False,10,10.0,test_wavs\test_18005551234_mixed_snr10.wav,18005551234,1.0,True
18005551234,mixed,False,5,5.0,test_wavs\test_18005551234_mixed_snr5.wav,18005551234,1.0,True
18005551234,mixed,False,0,-0.0,test_wavs\test_18005551234_mixed_snr0.wav,18005551234,1.0,True
18005551234,mixed,False,-5,-5.0,test_wavs\test_18005551234_mixed_snr-5.wav,18005551234,1.0,True
18005551234,white,True,30,29.6,test_wavs\test_18005551234_white_hum_snr30.wav,18005551234,1.0,True
18005551234,white,True,25,24.6,test_wavs\test_18005551234_white_hum_snr25.wav,18005551234,1.0,True
18005551234,white,True,20,19.52,test_wavs\test_18005551234_white_hum_snr20.wav,18005551234,1.0,True
18005551234,white,True,15,14.62,test_wavs\test_18005551234_white_hum_snr15.wav,18005551234,1.0,True
18005551234,white,True,10,9.61,test_wavs\test_18005551234_white_hum_snr10.wav,18005551234,1.0,True
18005551234,white,True,5,4.56,test_wavs\test_18005551234_white_hum_snr5.wav,18005551234,1.0,True
18005551234,white,True,0,-0.4,test_wavs\test_18005551234_white_hum_snr0.wav,18005551234,1.0,True
18005551234,white,True,-5,-5.41,test_wavs\test_18005551234_white_hum_snr-5.wav,18005551234,1.0,True
18005551234,tonal,False,30,30.0,test_wavs\test_18005551234_tonal_snr30.wav,18005551234,1.0,True
18005551234,tonal,False,25,25.0,test_wavs\test_18005551234_tonal_snr25.wav,18005551234,1.0,True
18005551234,tonal,False,20,20.0,test_wavs\test_18005551234_tonal_snr20.wav,18005551234,1.0,True
18005551234,tonal,False,15,15.0,test_wavs\test_18005551234_tonal_snr15.wav,18005551234,1.0,True
18005551234,tonal,False,10,10.0,test_wavs\test_18005551234_tonal_snr10.wav,18005551234,1.0,True
18005551234,tonal,False,5,5.0,test_wavs\test_18005551234_tonal_snr5.wav,18005551234,1.0,True
18005551234,tonal,False,0,0.0,test_wavs\test_18005551234_tonal_snr0.wav,18005551234,1.0,True
18005551234,tonal,False,-5,-5.0,test_wavs\test_18005551234_tonal_snr-5.wav,18005551234,1.0,True
